Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,2b921d88-c1ab-4304-bf45-7110c1ca49f7,aaa68164-3b17-4347-90f4-180e1ef58ce7,OkHttp,3.14.4,3.14.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/29/20,maven,com.squareup.okhttp3:okhttp:3.14.4,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/29/19,36,INCREASING,794,46,,,
,b9185555-6e31-401e-b373-bfec7955a8ab,fad6847b-b44c-42f8-b4da-a1edcf758f47,zlib,1.2.7,1:1.2.7.dfsg-13,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,4/17/20,debian,zlib/1:1.2.7.dfsg-13,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,4,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/10/04,92,STABLE,0,0,,,
,9c98940e-f5d9-4e84-b4a3-e898c1eb95f5,a92ec7de-e1bd-4fd9-ae09-42700e67888b,couchbase-lite-android,android-2.7.0,2.7.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Files Added/Deleted,Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/17/20,github,couchbase/couchbase-lite-android:2.7.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,5,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/25/19,4,DECREASING,123,2,,,
,2b921d88-c1ab-4304-bf45-7110c1ca49f7,84652aad-5085-4ba1-accb-b213a96fd085,OkHttp,3.14.7,3.14.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/29/20,maven,com.squareup.okhttp3:okhttp:3.14.7,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/24/20,13,INCREASING,794,46,,,
,92a62dae-28ba-467b-a999-60e889d11a58,ccf349c9-cff7-4c01-bd22-948a0bc23f88,OkIO,1.17.2,1.17.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/29/20,maven,com.squareup.okio:okio:1.17.2,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/17/19,23,DECREASING,127,10,,,
,5eee8b73-dadc-4271-9389-476d87cfd1b1,e8e1a14d-ccad-48e5-bc1a-0bae1d444984,mbed TLS (formerly PolarSSL),mbedtls-2.19.1,mbedtls-2.19.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/17/20,github,ARMmbed/mbedtls:mbedtls-2.19.1,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,7,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,1,9/18/19,12,INCREASING,1420,46,,,
,a2e898a2-b602-4f90-96d6-86399383a5ed,1a675b57-4ed1-482f-8b51-3ca81d49289d,sqlitecpp,2.4.0,2.4.0-1.fc31/armv7hl,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,4/17/20,fedora,sqlitecpp/2.4.0-1.fc31/armv7hl,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,3,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/1/19,0,,,,,,
,f28f16d6-50d8-48ef-addf-eb6231576055,6f35c7fc-9ec8-41e8-8ae4-3ac7dd1d8c5a,SpotBugs Annotations,3.1.12,3.1.12,cff110eb-f85c-445c-9d3b-00a04b7f4cf0,GNU Lesser General Public License v2.1 or later,WEAK_RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/29/20,maven,com.github.spotbugs:spotbugs-annotations:3.1.12,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/1/19,10,,,,,,
,93a34979-db6b-4c6f-b096-1ae01dbd23fa,96a524df-6dfa-49d7-afe5-6c8b40233f7c,react-native-google-signin,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/17/20,maven,org.webjars.npm:react-native-google-signin:2.0.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,4,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/25/19,2,,,,,,
,a794eef0-7b0a-40ed-ac2a-a93b0f709d30,ed29b075-9966-447d-a223-eaa104d7e423,minizip-devel,1.2.7,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,4/17/20,,,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,2,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/10/04,13,,,,,,
,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,3.1.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/17/20,github,leetal/ios-cmake:3.1.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/14/19,2,,,,,,
