Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,72ed568b-e849-4f92-a4d1-df220cb2a423,04a66897-2084-4b9c-afa2-414d807f9455,Couchbase JVM Core IO,2.2.4,2.2.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/4/22,maven,com.couchbase.client:core-io:2.2.4,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/9/21,1,,,,,,,,a90070ef-60bf-4c8e-a50a-f3adf2b948f4,false
,ebc90011-1ff8-4419-bf50-9c33dc711eb7,f95a8681-347e-439c-9dfa-6570e8b2ada4,Couchbase Java DCP Client,0.39.0,0.39.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/4/22,maven,com.couchbase.client:dcp-client:0.39.0,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/18/22,0,,,,,,,,c2790bba-41b8-4490-a12c-3cacf5093fdc,false
,24d30cc9-59fe-47e8-9672-b5b99f76eaec,a832912b-903d-4a1b-a507-8d3580168bf2,Couchbase Java SDK,3.2.4,3.2.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/4/22,maven,com.couchbase.client:java-client:3.2.4,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/9/21,1,,,,,,,,3c74d6a3-8c1f-4be9-a0f3-9377e51987e0,false
,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,3bc817e9-60e6-449a-b0e4-fc2155157579,HdrHistogram,2.1.12,2.1.12,"cc875133-df38-4806-9921-473e0ef01a87,bfbd4bfa-5f71-4a23-9a23-4ac267626b34","(BSD 2-clause ""Simplified"" License AND Creative Commons Public Domain Dedication and Certification)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/4/22,maven,org.hdrhistogram:HdrHistogram:2.1.12,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/10/19,0,INCREASING,14,5,,,,,c272caf2-3610-4230-b9d1-34cc61a885a9,false
,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,LatencyUtils,2.0.3,2.0.3,"cc875133-df38-4806-9921-473e0ef01a87,bfbd4bfa-5f71-4a23-9a23-4ac267626b34","(BSD 2-clause ""Simplified"" License AND Creative Commons Public Domain Dedication and Certification)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/4/22,maven,org.latencyutils:LatencyUtils:2.0.3,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/14/15,0,STABLE,2,1,,,,,b5f0f8d3-4dbc-4992-8c1f-5e4fd5806a6d,false
,c55ce524-78b7-48ed-b071-7c6c7c085bae,e579db2a-f1d5-47ee-bbc3-3a0c639f399e,Metrics Core,4.0.7,4.0.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/4/22,maven,io.dropwizard.metrics:metrics-core:4.0.7,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/19/19,45,,,,,,,,a724bde5-a223-4f91-9bdc-dd6dc7321c78,false
,03db2795-e107-43fc-b37b-ea3a7013556d,9e1e45b5-18eb-42e0-adf0-39610fb7b03c,Metrics Integration with JMX,4.0.7,4.0.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/4/22,maven,io.dropwizard.metrics:metrics-jmx:4.0.7,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/19/19,45,,,,,,,,9428dedd-5519-4b72-b4c4-29c5719b23c8,false
,57acb49f-c5f5-4081-adbb-90099c4307d7,0d0bd60b-cfe5-479b-a667-a3e99a00e641,Reactor Core,3.4.13,3.4.13,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/4/22,maven,io.projectreactor:reactor-core:3.4.13,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/14/21,1,INCREASING,562,46,,,,,ba8895a7-f747-4f2b-b0c1-a7c48762a51d,false
,ca782761-ef54-4eb6-b7f0-b9fbb15a0698,895a72f6-8663-4eab-9c61-842f0c01d6d7,SLF4J API Module,1.7.30,1.7.30,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/4/22,maven,org.slf4j:slf4j-api:1.7.30,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/16/19,10,,,,,,,,bd1d668f-41ea-4e2e-9afb-edb1b01e612b,false
,6c6b2b55-2f4c-482e-be71-89c245bfb3fa,79b0dc68-df93-46dd-99fc-a1455fde6033,com.github.therapi:therapi-runtime-javadoc,0.13.0,0.13.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/4/22,maven,com.github.therapi:therapi-runtime-javadoc:0.13.0,NOT_REVIEWED,,,couchbase-connector-kafka 4.1.5,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/1/22,0,,,,,,,,169432e1-9080-4db9-afb4-e67270adf149,false
