,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,5271cd46-d193-4af5-b2c2-50a07751f580,93c9dacb-54dd-4338-a726-d6d54cfc399c,Go Testify,1.7.0,v1.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,unknown,,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,1/13/21,15,INCREASING,45.0,25.0,,,,cc7da22c-ad8c-4d77-a78a-d4e7a88a1c21,False
1,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,31a4098b-3ff8-41a1-9565-0cc6c7e1a30f,Go programming language,1.19.4,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/16/23,,,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,0,UNREVIEWED,,,12/6/22,47,STABLE,9624.0,417.0,,,,,False
2,,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,GoDoc Text,v0.2.0,v0.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,kr/text:v0.2.0,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,2/14/20,5,,,,,,,5979f592-28de-479d-9c75-0d43c34625a7,False
3,,409a80e3-62ed-4c60-9a9c-d29b744ca497,0533e2d5-a2f7-4f0b-af59-4dd424cc133a,benbjohnson-clock,v1.1.0,v1.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,benbjohnson/clock:v1.1.0,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,11/24/20,10,,,,,,,706a7163-42e2-46bb-ab3e-b82057d9a7f8,False
4,,c5c77a3c-561f-4258-903c-b9b71a1c9dcd,b0087151-57bb-42e8-8b37-86396884b1e0,creack/pty,v1.1.9,v1.1.9,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,creack/pty:v1.1.9,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/25/19,21,,,,,,,e1f8443d-784f-4365-946f-6d29d1816ad8,False
5,,0904bfe8-1407-4e70-b859-69165bd444b1,0e12541f-9628-41ab-81c6-c0d6b238bf4b,fsnotify-fsnotify,v1.5.1,v1.5.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,fsnotify/fsnotify:v1.5.1,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,8/24/21,10,,,,,,,b826a9b9-b777-46ad-b723-f95a7710f92c,False
6,,5a28cde9-50e3-4c05-a3f7-257c6d69cb3c,d0081e40-7068-4ed2-9962-471491e99000,go-check-check,20200227-snapshot-8fa46927,8fa46927fb4f5b54d48bde78c6c08db205b2298c,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,go-check/check:8fa46927fb4f5b54d48bde78c6c08db205b2298c,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,2/27/20,19,,,,,,,0e417610-f393-4a46-a71d-e8f2f27338e3,False
7,,d0457612-4235-419c-a42c-d7ea260ffa9b,f34f82d6-e537-439d-b843-b0615e807d91,go-openapi/jsonpointer,v0.19.5,v0.19.5,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,go-openapi/jsonpointer:v0.19.5,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,11/15/20,6,,,,,,,b97db843-03e1-4b9e-b475-4d4f5d0ca552,False
8,,02a60272-a845-4ff3-abee-9e6034969db2,d9b00cb4-7486-4427-9912-2a1045eef9ac,go-spew,v1.1.1,v1.1.1,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,davecgh/go-spew:v1.1.1,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,8/22/18,11,STABLE,0.0,0.0,,,,443ec6c7-528d-4b44-bfe8-0fba4f711165,False
9,,2cae3977-12c3-4a7c-aea8-0e4290e514d1,36c3edd5-59c4-4dc5-a69d-698506340880,go-zap,v1.19.1,v1.19.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/2/23,github,uber-go/zap:v1.19.1,NOT_REVIEWED,couchbase-fluent-bit 1.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/8/21,14,INCREASING,68.0,25.0,,,,613c568c-d6ea-4dfd-bb98-94985395de62,False
