,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,AOP Alliance (Java/J2EE AOP standard),1.0,Transitive Dependency,Public Domain,PERMISSIVE,NOT_REVIEWED,7c4149c8-ba40-4104-8dca-c0052ef3eafb,528a36b9-d858-44af-a316-a9af3b67c8bd,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4
1,Animal Sniffer Annotations,1.24,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,07731f32-a0f0-4485-8d90-1f0bbdc8185d,9399cad8-3b81-46ab-8021-8eda7271aeb9,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Apache ActiveMQ,5.18.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ac67317b-b2af-4c2f-a421-eb5ac95a460a,6a8dae3c-d8c6-44a2-93ae-2779cd324632,7cae335f-1193-421e-92f1-8802b4243e93
3,Apache Commons IO,2.8.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,96dc9f7b-73e3-4dc2-b0bb-b6bba56b535d,1e6e7be6-62ac-4b57-b856-e3caabbed6be,7cae335f-1193-421e-92f1-8802b4243e93
4,Apache Kafka,3.7.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,05248305-719c-4b7d-a693-0b1a7992b4ec,3eb05e96-2bfe-4f56-8168-8affe1de01aa,7cae335f-1193-421e-92f1-8802b4243e93
5,Apache Log4J API,3.0.0-beta2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,44d8c92a-f682-4904-b571-c83f83ae1a91,df50555a-9367-4ded-8df2-890b78460fe2,7cae335f-1193-421e-92f1-8802b4243e93
6,Apache Log4j,3.0.0-beta2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7460c937-f013-4c3a-bdf3-ace04cfd0304,156e5386-597a-4faf-b8b5-1968bc74228e,7cae335f-1193-421e-92f1-8802b4243e93
7,Apache Log4j,3.0.0-beta3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7460c937-f013-4c3a-bdf3-ace04cfd0304,61e7ed20-a7f9-4792-93dd-7883e5338561,7cae335f-1193-421e-92f1-8802b4243e93
8,Apache Log4j Kit,3.0.0-beta3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1fbe0795-a34f-444d-8e6a-933a528610d4,261cc08b-fedb-4aed-b121-fb1736c22b0a,7cae335f-1193-421e-92f1-8802b4243e93
9,Apache Log4j Plugins,3.0.0-beta2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,43e0dfa9-cf92-4392-be8d-cac5858ba58c,a2f5cb1b-fbca-4a6d-a717-4f88f7432f3b,7cae335f-1193-421e-92f1-8802b4243e93
10,Apache Log4j Plugins,3.0.0-beta3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,43e0dfa9-cf92-4392-be8d-cac5858ba58c,eec147dc-78d7-49fd-b37f-9c1d4a9a5bdc,7cae335f-1193-421e-92f1-8802b4243e93
11,Apache Log4j SLF4J Binding,2.20.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,925f23a2-2f52-4adb-a1cc-637d8424dff2,130144f3-d2bc-4122-9231-c593bb84cb29,7cae335f-1193-421e-92f1-8802b4243e93
12,Apache Log4j SLF4J Binding,3.0.0-beta2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,925f23a2-2f52-4adb-a1cc-637d8424dff2,123b4564-7202-4e7e-97c5-6216f08c8ef0,7cae335f-1193-421e-92f1-8802b4243e93
13,AssertJ - Fluent Assertions for Java,3.25.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,82d61fc3-ea89-41aa-8397-2f962c92b9b2,ece67c5d-e541-4ebb-abc4-15ae9b16df87,7cae335f-1193-421e-92f1-8802b4243e93
14,AssertJ - Fluent Assertions for Java,3.27.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,82d61fc3-ea89-41aa-8397-2f962c92b9b2,b69e267f-833b-433e-a8c8-a3436ff8e57b,7cae335f-1193-421e-92f1-8802b4243e93
15,AssertJ - Fluent Assertions for Java,4.0.0-M1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,82d61fc3-ea89-41aa-8397-2f962c92b9b2,2d776bcc-8435-4feb-8529-229a4636f92b,7cae335f-1193-421e-92f1-8802b4243e93
16,Awaitility,4.2.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,70afd8a0-857d-4f00-892a-396312fb6b43,36a15431-eade-4e39-a26f-d500215d2e98,7cae335f-1193-421e-92f1-8802b4243e93
17,Awaitility,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,70afd8a0-857d-4f00-892a-396312fb6b43,8ce55e06-5f67-49df-b7c0-3b71c99d717e,7cae335f-1193-421e-92f1-8802b4243e93
18,Awaitility,4.3.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,70afd8a0-857d-4f00-892a-396312fb6b43,4f6de548-6257-460e-97b1-c0627b8a4085,7cae335f-1193-421e-92f1-8802b4243e93
19,Brave Context: SLF4J,6.0.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,5fecae63-6374-4b38-9be5-6daad1075b6a,adcab76c-8c69-446f-b5f0-3545550667d3,7cae335f-1193-421e-92f1-8802b4243e93
20,Brave Instrumentation: Http Adapters,6.0.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cb3abe65-836b-49d2-837b-318e11ff9c3e,2b49a76a-2b71-4ad0-99a7-2918ed118f3b,7cae335f-1193-421e-92f1-8802b4243e93
21,Brave Propagation: Amazon Web Services (AWS),1.2.5,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cc9e73d2-c08e-4d4a-8cde-fa145bff97ba,7f20f62b-954e-43dc-a277-4e9ffabab68b,7cae335f-1193-421e-92f1-8802b4243e93
22,Brave W3C Propagation: Trace Context,0.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f0b5361b-12fd-4625-ace3-e01343c5680b,97b7b315-91ad-4c5e-aff3-d56eeec3bddb,7cae335f-1193-421e-92f1-8802b4243e93
23,Brave: Interop Tests,6.0.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a04246d7-610c-4dab-8f8f-9399c8419d78,af6cd5ad-21ea-4a2a-b92f-7ed6cd56c3be,7cae335f-1193-421e-92f1-8802b4243e93
24,Byte Buddy,1.14.11,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3a880f58-5441-4faf-bad8-01e7648149d4,9637b389-b550-4e7b-b289-ef6e5496fe6d,7cae335f-1193-421e-92f1-8802b4243e93
25,Byte Buddy,1.15.11,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3a880f58-5441-4faf-bad8-01e7648149d4,3e9e9ae3-26a2-4ee7-ab3f-eebc9753f160,7cae335f-1193-421e-92f1-8802b4243e93
26,Byte Buddy,1.17.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3a880f58-5441-4faf-bad8-01e7648149d4,ebe771dc-7a7d-4dfe-b948-de41130e82e1,7cae335f-1193-421e-92f1-8802b4243e93
27,Byte Buddy,1.8.5,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3a880f58-5441-4faf-bad8-01e7648149d4,2c644c79-4fbd-4efe-b05b-fc7bf5be9e44,7cae335f-1193-421e-92f1-8802b4243e93
28,Byte Buddy,byte-buddy-1.10.18,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3a880f58-5441-4faf-bad8-01e7648149d4,5b5efa93-39cf-4261-bd03-c60cc64bb737,7cae335f-1193-421e-92f1-8802b4243e93
29,Checker Qual,3.12.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,eaa5708e-b763-44f0-8091-2cdf7bac1cd0,f91fb484-9623-4723-8d53-6ec31ee74a26,ad705c59-6893-4980-bdbf-0837f1823cc4
30,Checker Qual,3.43.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,eaa5708e-b763-44f0-8091-2cdf7bac1cd0,06e4a1f7-aab5-4484-a6af-d6e549bedef7,ad705c59-6893-4980-bdbf-0837f1823cc4
31,Couchbase JVM Core IO,3.9.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,72ed568b-e849-4f92-a4d1-df220cb2a423,169bec1a-f4b5-400e-873d-fa4e8bb9cf95,7cae335f-1193-421e-92f1-8802b4243e93
32,Couchbase Java SDK,3.9.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,24d30cc9-59fe-47e8-9672-b5b99f76eaec,38238f76-af64-4412-9025-15a10e157d62,7cae335f-1193-421e-92f1-8802b4243e93
33,CouchbaseMock,1.5.27,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,16e0418d-0e0d-463f-b934-0261d5ea0c77,f74b65c1-f051-49a2-9671-1b4bf5acab94,7cae335f-1193-421e-92f1-8802b4243e93
34,DSL Platform JSON,2.0.2,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,946eef26-870c-44d8-86c1-b2f20e82663e,92a940b2-f907-4d8e-93ea-51766c881dde,3d238144-44e6-450e-b523-3defbdaed9dc
35,Duct Tape,1.0.8,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4d3efdea-3f63-45c4-9ede-e1f4c8b495e2,e78ce716-b979-4fe7-991b-832a75c584ab,ad705c59-6893-4980-bdbf-0837f1823cc4
36,FasterXML/jackson-modules-java8,2.19.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,93477a6b-05b7-4f6f-a576-818aba23378f,746194c2-c339-4b81-965b-26f326dd3c5f,7cae335f-1193-421e-92f1-8802b4243e93
37,FasterXML/jackson-modules-java8,2.20.0-rc1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,93477a6b-05b7-4f6f-a576-818aba23378f,69c49978-6d32-4379-a641-6152fd818582,7cae335f-1193-421e-92f1-8802b4243e93
38,FindBugs jsr305,3.0.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1dd30afc-69b6-450f-b52f-f7c757fef842,56ab9f83-8fed-48fd-a1a4-e0450d871a7a,7cae335f-1193-421e-92f1-8802b4243e93
39,Google Android Annotations Library,4.1.1.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,20a0dd58-8d5a-4bb4-b4ec-eab519b874db,930706c2-3fd5-4287-b368-b42aaf24918f,7cae335f-1193-421e-92f1-8802b4243e93
40,Guava InternalFutureFailureAccess and InternalFutures,1.0.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,71ba0e56-32eb-4c4e-9cdc-c68e4b809911,87b54cc4-f37f-42fd-abf2-985872b8fdee,7cae335f-1193-421e-92f1-8802b4243e93
41,Guava InternalFutureFailureAccess and InternalFutures,1.0.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,71ba0e56-32eb-4c4e-9cdc-c68e4b809911,34a8d904-337a-44f2-b6cd-a873f320dc14,7cae335f-1193-421e-92f1-8802b4243e93
42,Guava ListenableFuture only,9999.0-empty-to-avoid-conflict-with-guava,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a6d54d5e-a933-4b78-8880-f20eebf8eb0d,e094ab0f-0e6c-4477-8177-be5d87619087,7cae335f-1193-421e-92f1-8802b4243e93
43,Hamcrest,2.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,d4d917a5-bbf5-4806-a480-b7161fb0743a,eb015673-e3a4-4117-930f-203491a1c29c,3d238144-44e6-450e-b523-3defbdaed9dc
44,HawtBuf,1.11,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d7bff734-e9f1-44fb-80ef-2b38032ccf74,49d54c88-0bce-4106-a864-7416677a0fbc,7cae335f-1193-421e-92f1-8802b4243e93
45,HdrHistogram,2.2.2,Direct Dependency,"(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,NOT_REVIEWED,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,e4483759-fd42-409c-a7a1-32a09b555475,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
46,JCTTools,v4.0.5,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ed9663f6-217e-4f90-9aa5-c74a02cc964c,cdcc807d-c440-4739-b3ac-73b38324857e,7cae335f-1193-421e-92f1-8802b4243e93
47,JSpecify annotations,1.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7e7f9b3b-83a6-4496-8182-b45538f9d5a8,49a188b8-b059-404b-9cab-b27b48e65f06,7cae335f-1193-421e-92f1-8802b4243e93
48,JUnit Jupiter (Aggregator),5.10.3,Transitive Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,b8184f5a-0672-4a5f-a0d5-49ce3ca6f677,f90edaaa-360c-464b-8601-efd1910401ec,8f64c451-7777-4762-903b-605797caef38
49,JUnit Jupiter (Aggregator),5.13.4,Transitive Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,b8184f5a-0672-4a5f-a0d5-49ce3ca6f677,4b65e3f8-88a8-499b-a608-e7f954f60a7b,8f64c451-7777-4762-903b-605797caef38
50,Jackson-module-Afterburner,2.19.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,eea33624-c4cb-4c71-8ef7-767642d1d611,92a2101b-8c9d-43e4-9007-f3aa4fd00ce4,7cae335f-1193-421e-92f1-8802b4243e93
