,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Amanieu/thread_local-rs,1.1.9,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,b547df48-dfbc-4385-9d2e-9b335fdfd15e,0dd5b867-536d-4e6c-83ea-98e1cc98188d,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
1,BurntSushi/bstr,1.12.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,71861747-d4a6-4a5c-9c89-124fa8e07474,ce4a4dcd-fb41-450a-b079-423c2f5d1371,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
2,BurntSushi/byteorder,1.5.0,Direct Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,eda5f3a4-10cb-452c-b16f-08b8159dac8c,8604ae7e-c83d-4fbe-bfec-1033497216bd,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
3,BurntSushi/regex-automata,0.4.14,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,ac588037-c338-4a9c-8953-5e84b30d4ffe,d0ad020b-ae3e-4a64-aa5c-cb0a9e5b2cc7,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
4,BurntSushi/rust-csv,0.1.13,Direct Dependency,(MIT License OR The Unlicense),PERMISSIVE,NOT_REVIEWED,341b30c7-7eab-4835-8f07-fadc6c443433,b6a2dcf1-2ccc-450f-96bf-3c14441c559c,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
5,BurntSushi/rust-csv,1.4.0,Direct Dependency,(MIT License OR The Unlicense),PERMISSIVE,NOT_REVIEWED,341b30c7-7eab-4835-8f07-fadc6c443433,c3e58b48-78b3-4530-881c-15fde77d17a5,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
6,BurntSushi/rust-memchr,2.7.6,Direct Dependency,(MIT License AND Public Domain),PERMISSIVE,NOT_REVIEWED,79bcd522-6a36-46f7-92dc-2a8b9f2c0ab7,ea1446f2-e52a-44d2-9520-b7d7b42ca0b2,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,ad705c59-6893-4980-bdbf-0837f1823cc4"
7,BurntSushi/same-file,1.0.6,Direct Dependency,(MIT License AND The Unlicense),PERMISSIVE,NOT_REVIEWED,8b2eca03-826c-4b7c-a7c7-fed20a6c593f,451b6019-56dc-4cf1-bc50-eca480e7e71c,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
8,BurntSushi/termcolor,1.4.1,Direct Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,62d6d96a-1173-43fd-96dc-08ce9e4fe633,e6e28def-750c-4d9a-99dc-e5aa69f82943,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
9,BurntSushi/walkdir,2.5.0,Direct Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,7c62619d-6aff-49de-9061-5d2be5b3ff79,44a517b1-3d95-4ed7-9a52-73d835c37429,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
