,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,ASIO C++ Library,1.30.2,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,7953a66b-efa6-43b6-a90c-de959ce49c94,87d594a0-f4ed-4710-a87f-63a6313a0ede,26b23233-77bd-4cc2-8977-f312abd57327
1,C++ Guideline Support Library,4.0.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,01d9cff4-73d4-4211-bc54-19271389e141,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Rake,13.2.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ac4995f8-0c2b-4223-8245-03cfb083be95,a3528164-09d9-4210-9716-acf9649728e7,ad705c59-6893-4980-bdbf-0837f1823cc4
3,couchbase-ruby-client,3.5.2,"Files Added/Deleted,Direct Dependency,Exact",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9315338b-2d56-4495-b3c0-7b118b805390,bef82bac-2218-4baf-b6d0-93a4fba2576d,7cae335f-1193-421e-92f1-8802b4243e93
4,fmtlib/fmt,10.2.1,Exact,(MIT License AND fmt exception),PERMISSIVE,NOT_REVIEWED,eae20828-18b8-478f-83b3-4a058748a28b,c1acf01e-3fdd-4293-b75e-22fa31fa4933,"ad705c59-6893-4980-bdbf-0837f1823cc4,3a9ce417-ffbd-44bd-be13-2eeabf5fb943"
5,googleapis,1.16.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,bf9e9c26-f969-4595-a613-9f2794d82d76,86baef17-e2e7-42b0-a990-27c631de2bd0,7cae335f-1193-421e-92f1-8802b4243e93
6,grpc,1.68.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,fa1b45e8-0651-4ed3-941e-44568c1f69de,74260fb3-eae0-4a73-8a5e-0560691f37a3,7cae335f-1193-421e-92f1-8802b4243e93
7,ruby-google-protobuf,4.29.2,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,bd64e121-e2e3-454b-ad01-79cc4f560d74,c100b00b-77b6-4d47-a68c-7d7aae9c2af9,3d238144-44e6-450e-b523-3defbdaed9dc
8,spdlog,v1.13.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,7785114c-5b78-4aad-8771-72a739a1f06e,0e4d1ddf-f4ea-4aaf-8df3-e07081d144f3,ad705c59-6893-4980-bdbf-0837f1823cc4
9,tao-pegtl,3.2.6,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,79a97d54-c6c8-4121-b10c-dfc9602d901e,ad705c59-6893-4980-bdbf-0837f1823cc4
