,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BurntSushi/rust-csv,0.1.11,Direct Dependency,(MIT License OR The Unlicense),PERMISSIVE,NOT_REVIEWED,341b30c7-7eab-4835-8f07-fadc6c443433,926170ba-dbf7-45c2-9a1f-1f50d1310c73,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
1,BurntSushi/same-file,1.0.6,Direct Dependency,(MIT License AND The Unlicense),PERMISSIVE,NOT_REVIEWED,8b2eca03-826c-4b7c-a7c7-fed20a6c593f,451b6019-56dc-4cf1-bc50-eca480e7e71c,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
2,Keats/tera,1.19.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5e3b5b0f-de3a-4177-be78-9d8f70125987,86365219-fd05-4035-a8c2-f6cdaacd96d5,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Kimundi/rustc-version-rs,0.2.3,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5b6677b3-af89-49ca-a485-ceece29ea238,81257495-d114-444b-a547-43644a4e01f7,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
4,Nu Shell,0.92.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0347f584-98ce-4e2f-a61a-286538e03aeb,9fcacf31-0d31-4d88-bbcd-a3a8abe0780b,ad705c59-6893-4980-bdbf-0837f1823cc4
5,RustCrypto/MACs,0.10.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5e8e472f-6e80-4a45-84c0-258c8b28d0ce,f7fd3077-3a33-47a7-896c-e0d97cbd1372,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
6,RustCrypto/MACs,0.12.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5e8e472f-6e80-4a45-84c0-258c8b28d0ce,47cc9d78-ae25-41b6-9c15-62f3724521f9,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
7,RustCrypto/hashes,0.10.8,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f09ed4b4-68f3-4fa7-b4ac-74d931ffc562,fbf2e803-e633-4b0f-835c-de63f454d6af,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
8,RustCrypto/hashes,0.9.9,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f09ed4b4-68f3-4fa7-b4ac-74d931ffc562,1a5c81ba-02c8-4471-982e-6591c83e679b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
9,RustCrypto/traits,0.1.6,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,be18fbea-a663-4778-87e1-1f0471f0cebb,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
10,RustCrypto/traits,0.2.5,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,0d04eaad-1eb7-414e-9dbd-3251feeca8b4,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
11,RustCrypto/traits,0.3.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,505df6fe-0b66-450e-b09b-e38b361c012e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
12,RustCrypto/traits,0.4.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,d161b0b6-2e64-477f-8107-93c528b54289,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
13,SergioBenitez/cookie-rs,0.14.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,79b39858-c9f4-454d-9192-a5b91b7c439a,dfc68086-e576-422b-b171-e5817e868862,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
14,SergioBenitez/version_check,0.9.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,52f82ded-e806-4eac-a6e5-f5971752ff82,44e65d50-44eb-4daf-85a1-8e1a4f9d3619,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
15,TeXitoi/structopt,0.3.26,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,9441dc0a-393b-458c-b30b-c3ddf8d37165,87f78c51-b9ef-4211-b1a4-c58c4025e387,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
16,TeXitoi/structopt,0.4.18,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,9441dc0a-393b-458c-b30b-c3ddf8d37165,7b72c4a9-a10b-4a06-989c-cceab5a9a8bb,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
17,TedDriggs/darling,0.14.4,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,6ec6789a-24f2-432f-8c11-8aaa271e84ae,41698162-66ca-4897-8b0f-f1ad289bc146,ad705c59-6893-4980-bdbf-0837f1823cc4
18,TedDriggs/ident_case,1.0.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,7cbb73dd-9fbb-418d-9c7c-76855dfe0b6d,4354bb88-dd83-49ec-8f98-fbcd40a985b3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
19,abonander/mime_guess,2.0.4,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ec7043e1-c867-40af-9fca-71bf01809cfa,cab6f2b9-8d4a-4203-b3c8-3236d17435b5,ad705c59-6893-4980-bdbf-0837f1823cc4
20,addr2line,0.21.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,961a0d15-a6ed-4570-a843-c7bd5b88bd15,11aa3312-958b-4feb-8d5b-8eca8c0f6709,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
21,adler,1.0.2,Direct Dependency,(BSD Zero Clause License OR MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,beff6540-5b94-4e77-9826-3e1379516236,d8a586ca-35c3-4165-807e-50d4efa4f2cb,"ad705c59-6893-4980-bdbf-0837f1823cc4,dd4bebf5-122b-4a8c-8c2a-dc34f0308110,7cae335f-1193-421e-92f1-8802b4243e93"
22,aes,0.6.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,73b65e51-d949-4008-bbe6-77be1447d656,e447bae1-b6f5-4f8d-ae81-0a2b8046a918,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
23,aes-gcm,0.8.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,0a08f1fc-fb6b-4845-a59f-a2d3089c10dc,cb1a0e39-885e-43a1-b7bd-fdb2c3c56a96,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
24,aes-soft,0.6.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,144f443a-c4f7-4c86-a986-19edfbf0d5bf,cc1a62bc-c2bf-490b-a72f-23df9098a371,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
25,aesni,0.10.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,63c51897-9870-4df1-adb6-79709aaee8b6,8f5283e1-1d69-49ce-8f70-8fa8896f3337,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
26,alexcrichton/cfg-if,1.0.0,Direct Dependency,(MIT License AND Apache License 2.0),PERMISSIVE,NOT_REVIEWED,c34936c4-56b4-4c6d-9e19-7e034be7440c,7958c109-fd8a-45f9-bb5d-feee0c0a577e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
27,alexcrichton/jobserver-rs,0.1.28,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,a9f39c40-8445-42bf-bd47-31caae954b58,f1fcabca-bb48-4398-a5e3-8a1d859fabe3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
28,alexcrichton/openssl-probe,0.1.5,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,09d94744-c27c-4d2d-8235-b308383b8523,603b1816-998f-43b6-84ba-baac1ba3e1b3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
29,alexcrichton/proc-macro2,1.0.79,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,370dd3f2-35a2-49a5-8813-c6086260a204,d3753252-dca5-4055-905c-1de6010c52d2,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
30,alexcrichton/rustc-demangle,0.1.23,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,c8031f3b-549e-4d04-a5f7-783d563c1ea5,2eee3e1c-ae2d-4d5f-99dc-5efcb88cb607,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
31,alexcrichton/scoped-tls,1.0.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5ba2482b-c7f6-4681-ad5f-bf581309b4c2,929ffd31-6679-492e-b44d-0cd54b9187fc,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
32,alexcrichton/socket2-rs,0.4.10,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,cc0a0f6f-b719-4d47-8172-ac3b04d1f190,06ca0c31-502c-42d8-b387-85739e25d7a5,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
33,alloc-no-stdlib,2.0.4,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,5969e57f-049c-48e6-898c-4c65bca5c4d1,ee1da948-36ac-4bde-89ff-c35c44238c4e,3d238144-44e6-450e-b523-3defbdaed9dc
34,alloc-stdlib,0.2.2,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,394d879d-ec64-45af-8c05-83b7f96d14cf,a549de5c-f9aa-426e-9282-859cba7309af,3d238144-44e6-450e-b523-3defbdaed9dc
35,allocator-api2,0.2.16,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,0f9c22e4-b727-4d87-8204-0294180ac735,0ecda639-15c7-49d6-9c6d-4a446b3a162d,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
36,alphanumeric-sort,1.5.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8262169e-7608-42a5-be68-96a42c03179d,015b6f48-ff6c-49f4-be31-ee54a437852a,ad705c59-6893-4980-bdbf-0837f1823cc4
37,android-tzdata,0.1.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,ec6ffb8e-adcc-45ee-8c52-689a5114e8ed,a46d8ebc-13be-4b50-9506-048525c2ed9d,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
38,android_system_properties,0.1.5,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,02758b79-8df9-4500-b82d-8ea4baf0d386,077f0780-390f-47e9-82c8-4e6cb7b3d1f3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
39,ansi-str,0.8.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e321e735-26d3-4ded-8904-39d5484f9a1b,9629521f-4e95-4207-b912-d1707a13583b,ad705c59-6893-4980-bdbf-0837f1823cc4
40,ansitok,0.2.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,98e740a4-1383-4abe-a08f-3209f3172c9b,648e04d0-d5dc-44a8-af97-c979ef68cbca,ad705c59-6893-4980-bdbf-0837f1823cc4
41,anstream,0.6.13,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,79511cd5-3e67-4204-a3ba-6d36ce834992,60f596e1-51bc-4c67-b12b-63cf617b90ed,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
42,anstyle,1.0.6,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f9a66b42-e212-403a-b9cd-755138a4d645,5ef249d1-e478-43a8-8ea0-446424622c46,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
43,anstyle-parse,0.2.3,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,44147c52-c8db-43b8-92d1-ad05c2b7a029,67b72034-bc4b-4edd-8c1c-c1186ed9110e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
44,anstyle-query,1.0.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,ba4a9e52-1538-47bf-909a-6654bd03d2f4,eeb35297-6300-4842-9ef7-0d06e98897ec,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
45,anstyle-wincon,3.0.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,db1f849b-0ffd-4895-8bd9-8318fc2cdd2c,849cd9c6-cc6d-4145-a630-38fe33fc9433,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
46,anyhow,1.0.81,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,6cfa09af-ac3e-4151-a745-d4fddc83af71,512e4c52-aaac-4ffa-a85c-677f286cd6d4,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
47,arboard,3.3.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,1dbe967f-bd35-43d5-8712-6166327f41eb,db6254d8-77fa-4742-9979-82e61391f391,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
48,array-init-cursor,0.2.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,4d9eaf70-af50-42e8-b3cb-c27caf78a65e,b806ac2a-46f0-4b1d-a87a-f54a47b4bdaa,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
49,async-channel,1.9.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,7e8363cb-bc1b-4b9b-9e91-bc466bd0497d,410da609-df72-4c31-863e-05b65e17ad9b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
50,async-channel,2.2.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,7e8363cb-bc1b-4b9b-9e91-bc466bd0497d,9044ce7f-1478-4a67-ae3b-fb1fed0d9ec7,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
51,async-convert,1.0.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,56e0cdb6-af89-4d9b-91a7-cb24aa135083,42ac92a8-20c0-42db-80f0-7e23d1732ecc,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
52,async-executor,1.9.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,549b6996-e789-448a-b71a-f44271aad7e1,6ec952cb-007a-4d67-93d1-55dd2563a12e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
53,async-io,1.13.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,98e496f3-054e-439a-b07d-621867864108,45689000-44d7-43bf-bdbb-d6409960f39b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
