,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,AWS Event Stream,1.0.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,68556129-b13b-472f-93ff-5545e2bfd3ed,55281e94-e2f8-427d-9d98-30efae99a873,7cae335f-1193-421e-92f1-8802b4243e93
1,AWS Java SDK :: Checksums,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,862850b7-4a76-4275-add3-753fa5ffc7e2,c4bc529a-2ff6-4993-a697-ddc3f4bc88e7,7cae335f-1193-421e-92f1-8802b4243e93
2,AWS Java SDK :: Checksums SPI,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3e9bff5b-ea3b-4259-9be3-29cd1caffabe,1dcb1fd5-2540-4169-a20e-7c78e5230884,7cae335f-1193-421e-92f1-8802b4243e93
3,AWS Java SDK :: Core :: Protocols :: AWS Json Protocol,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,5f577a2a-cce4-421a-9b27-69137dd3b7ce,ec1da0a2-01ee-4fc2-b02b-1b96a137d758,7cae335f-1193-421e-92f1-8802b4243e93
4,AWS Java SDK :: Core :: Protocols :: Json Utils,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,23acef5f-42fd-43a9-98ff-06d18bb4bd44,956dc110-8557-4db6-ada8-ef6e23e47847,7cae335f-1193-421e-92f1-8802b4243e93
5,AWS Java SDK :: Endpoints SPI,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9f2f12f2-8754-4a10-ba3f-9a195e454e7f,ca4a6d6b-9f5c-402c-b7e5-cda57c73b043,7cae335f-1193-421e-92f1-8802b4243e93
6,AWS Java SDK :: HTTP Auth,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7521b82e-d5a7-4b71-9cc4-ce926c6f2dbb,65ca7be0-5297-46e0-b064-f621f02d7a19,7cae335f-1193-421e-92f1-8802b4243e93
7,AWS Java SDK :: HTTP Auth AWS,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,bf118599-2692-4f79-a613-2284c50a37e9,42829f2d-7a99-49b2-b6b3-50f2abe34544,7cae335f-1193-421e-92f1-8802b4243e93
8,AWS Java SDK :: HTTP Auth SPI,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d47ea2c5-9f8b-49ef-9e51-f8e262fe5324,6e7ba362-cdaa-4157-b64c-e05bda578586,7cae335f-1193-421e-92f1-8802b4243e93
9,AWS Java SDK :: Identity SPI,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,deebf3e1-88eb-4268-a9de-47d13bb46fd7,b872c02a-5b29-459c-b901-c6a63dbc4131,7cae335f-1193-421e-92f1-8802b4243e93
10,AWS Java SDK :: Metrics Interface,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1422d3d9-dd49-4454-855a-0ebf84abadcd,3d954e5e-93b4-439e-871d-e325c27bfb8a,7cae335f-1193-421e-92f1-8802b4243e93
11,AWS Java SDK :: Services :: Amazon DynamoDB,2.21.9,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,8fe5eb09-3c76-46b5-bfc7-1b5cd028d6ba,19c6f166-08b8-48e3-aef3-5cf1b9840019,7cae335f-1193-421e-92f1-8802b4243e93
12,AWS Java SDK :: Third Party :: Jackson-core,2.21.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c51d855b-b910-4a58-9781-ad1ea34b8765,3785cbe4-e2e1-4669-8e96-c75f58584dfd,7cae335f-1193-421e-92f1-8802b4243e93
13,AWS Java SDK for AWS Resource Groups Tagging API,1.11.551,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,6fca7377-35a0-4319-8add-d913819dd486,04f2813d-1f18-48b1-8b59-8ed283959929,7cae335f-1193-421e-92f1-8802b4243e93
