,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,7953a66b-efa6-43b6-a90c-de959ce49c94,82f15a3e-0ff0-4494-8113-449e51f302ec,ASIO C++ Library,1.18.0,1.18.0-r0/ppc64le,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,8/20/21,alpine,asio-dev/1.18.0-r0/ppc64le,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,1,UNREVIEWED,,,8/15/20,5,,,,,,,0a86465b-b569-4079-8da7-da993031146b,False
1,,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,b4324717-655f-4470-b153-55c6d7ba3b11,C++ Guideline Support Library,v3.1.0,3.1.0-1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,9/22/21,debian,ms-gsl/3.1.0-1,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,1,UNREVIEWED,,,6/4/20,2,DECREASING,19.0,8.0,,,,280c4078-660e-4fd0-90e9-dfbbf13f9b4b,False
2,,0055e7ed-4a9c-441c-8c2e-4cdeeaf5257c,41328ce7-6541-41b4-a9cc-74a502e376ec,Catch2,2.13.4,2.13.4-1.fc34/armv7hl,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,"Exact,Manually Identified",,DYNAMICALLY_LINKED,True,,8/20/21,fedora,catch/2.13.4-1.fc34/armv7hl,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,7,UNREVIEWED,,,1/4/21,2,INCREASING,382.0,29.0,,,,a172df37-75e2-42a5-a85f-21a9d98cdd0b,False
3,,43a908e1-df66-4cd1-b18f-63c94e41965e,ea26ec59-4803-41e9-a125-51068f6e2eaa,HdrHistogram_c,0.9.13,0.9.13-2.el8/x86_64,"3d238144-44e6-450e-b523-3defbdaed9dc,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4","(BSD 3-clause ""New"" or ""Revised"" License AND Public Domain)",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,8/20/21,rocky,HdrHistogram_c/0.9.13-2.el8/x86_64,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,1,UNREVIEWED,,,2/17/20,10,DECREASING,19.0,7.0,,,,e5cd3688-c7e5-4217-b902-b22d2bf4f899,False
4,,3739d5e9-9ad8-4845-8077-1770167a69c2,6b301497-1707-472d-b13a-ad1096efa63b,asio,1.18.0,asio-1-18-0,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/18/22,github,chriskohlhoff/asio:asio-1-18-0,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,2,UNREVIEWED,,,8/14/20,9,,,,,,,e2732ae5-1adc-40aa-8527-9a4c0c26b2fd,False
5,,c570289f-07e9-45f6-94f6-44bd43d80530,1e91044f-3434-4d59-89ae-d1eed8a3f0f9,benchmark,1.5.1,v1.5.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/22/21,github,google/benchmark:v1.5.1,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,1,UNREVIEWED,,,3/10/20,13,DECREASING,27.0,8.0,,,,c9ad1aa1-266e-4e26-a78d-cd6da45e6e7b,False
6,,c570289f-07e9-45f6-94f6-44bd43d80530,e76d1012-dca8-4cb2-acd5-e8607b61d389,benchmark,v1.5.0,"1.5.0-1.fc30/x86_64,1.5.0-2",7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,9/22/21,"fedora, debian","google-benchmark/1.5.0-1.fc30/x86_64, benchmark/1.5.0-2",NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,2,UNREVIEWED,,,5/28/19,14,DECREASING,27.0,8.0,,,,"182a3e5f-8095-4b4d-bd6b-e5502930fc40, 9b517c79-f669-458d-9ae1-9429e805c994",False
7,,63fb4f64-a1ea-4853-9e76-68147c787f0b,2a77cc60-736b-4c9e-b791-7d6b3e28719a,catch2,2.13.0,2.13.0-1,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,9/22/21,debian,catch2/2.13.0-1,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,1,UNREVIEWED,,,7/13/20,6,,,,,,,727707fd-d23f-4501-b873-eeba64e0634e,False
8,,63fb4f64-a1ea-4853-9e76-68147c787f0b,8003e2c4-84ff-45b5-b8b7-c83eb4d86ec3,catch2,2.13.2,2.13.2-2,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,11/5/21,debian,catch2/2.13.2-2,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,2,UNREVIEWED,,,10/7/20,5,,,,,,,a9e0861c-8432-4d48-94c1-7ca358c0e3fa,False
9,,fd5e5c60-2c67-4d20-8be9-b7648156cef3,d4cd5d20-d58c-4b15-9d63-e31063e6c0cd,google-snappy,1.1.7,1.1.7-1.ph2/x86_64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,10/14/21,photon,snappy/1.1.7-1.ph2/x86_64,NOT_REVIEWED,couchbase-sdk-ruby 3.2.0,KB_COMPONENT,1,UNREVIEWED,,,8/25/17,39,DECREASING,3.0,1.0,,,,f15109d5-276b-485e-9a81-89c60c6ffb2c,False
