Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,0f1350da-7bbb-4be9-8567-ba36502340ff,a6cdfc57-3071-490e-9557-ea65678b6329,Cats core,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,8/13/21,maven,org.typelevel:cats-core_2.12:2.0.0,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/9/19,24,,,,,,,,5b659211-96c3-4808-ab19-d3de89bf8ad5,false
,e5797557-804e-440a-a718-285fb2fa2aac,988abd46-89dc-4e97-b9a5-921110326908,Cats kernel,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,8/13/21,maven,org.typelevel:cats-kernel_2.12:2.0.0,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/9/19,24,,,,,,,,db3c1151-9682-4986-bef0-7a9f1f89f8ac,false
,2e109729-f878-4dae-a08e-182e901af011,6b81705a-a07a-437c-a392-85139ad88943,Cats macros,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,8/13/21,maven,org.typelevel:cats-macros_2.12:2.0.0,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/9/19,5,,,,,,,,fc47c59a-a0cb-4a31-a53d-926f68af857e,false
,72ed568b-e849-4f92-a4d1-df220cb2a423,8978deca-06bc-40e9-ac73-29e0a4baecdc,Couchbase JVM Core IO,2.2.0,2.2.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/1/21,maven,com.couchbase.client:core-io:2.2.0,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/20/21,7,,,,,,,,2b718b7b-e647-4b2b-8c1f-1128e3c77c96,false
,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,08b39dd6-40fc-48f4-baa2-26131ce743a1,HdrHistogram,2.1.8,2.1.8,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/14/21,maven,org.hdrhistogram:HdrHistogram:2.1.8,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/26/15,10,INCREASING,11,4,,,,,7d1dca2c-1a89-4e7e-8830-158ed55533a3,false
,69a1f40e-2423-412c-98e3-869fa0919e37,a7526d06-2a02-4ca8-a80c-d07eb9e0e82d,Jackson-Datatype-JSR310,2.10.1,2.10.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,8/13/21,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.10.1,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/9/19,23,,,,,,,,7f9b1d9a-5c79-45ca-9f91-edd09c4a9488,false
,93477a6b-05b7-4f6f-a576-818aba23378f,04bcff7b-99d4-41d2-bddd-315e4a4ae061,Jackson-datatype-jdk8,2.10.1,2.10.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,8/13/21,maven,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.10.1,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/9/19,23,,,,,,,,cc0dc53a-a0e3-4c10-9b37-344275c26b95,false
,eea33624-c4cb-4c71-8ef7-767642d1d611,f5e3e56a-3857-41c0-859e-da64115d2a1c,Jackson-module-Afterburner,2.12.3,2.12.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/14/21,maven,com.fasterxml.jackson.module:jackson-module-afterburner:2.12.3,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/12/21,7,,,,,,,,0a92b2de-4b77-409a-bd3f-3fa56c24014b,false
,ed9663f6-217e-4f90-9aa5-c74a02cc964c,1a4df96e-32b2-4e28-bca5-e7a1501bb2ac,Java Concurrency Tools Core Library,3.3.0,3.3.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/14/21,maven,org.jctools:jctools-core:3.3.0,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/4/21,0,,,,,,,,86f9cf7f-03da-4744-84ca-014dba05fcd7,false
,a67e87fa-f848-40b4-bcf5-2aedb5bc2b31,43c7a8e1-7d32-4a0d-8a5c-c0627b646c82,Joda Time,2.10.5,2.10.5,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,8/13/21,maven,joda-time:joda-time:2.10.5,NOT_REVIEWED,,,couchbase-sdk-scala 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/24/19,10,DECREASING,20,3,,,,,6a578484-3f29-49dd-b0c2-1b6394fe7d1c,false
