,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,ASIO C++ Library,1.21.0,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,7953a66b-efa6-43b6-a90c-de959ce49c94,ca8b1821-abce-4ac7-a800-6467f87fde25,26b23233-77bd-4cc2-8977-f312abd57327
1,Bootstrap (Twitter),3.2.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,677efaf5-5bad-4f93-904b-dc4b69af9199,57380db8-397c-4888-9618-3d6836cc0f5c,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Bootstrap (Twitter),3.3.4,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,677efaf5-5bad-4f93-904b-dc4b69af9199,578cb95f-3c69-4b4a-9491-a9c1d4cc369d,ad705c59-6893-4980-bdbf-0837f1823cc4
3,C++ Guideline Support Library,4.0.0,Files Modified,MIT License,PERMISSIVE,NOT_REVIEWED,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,01d9cff4-73d4-4211-bc54-19271389e141,ad705c59-6893-4980-bdbf-0837f1823cc4
4,Catch2,2.13.7,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,9772eeb8-535e-4cb0-9956-a00700ceb0f5,9e28af80-f74c-4440-8242-c36c9f5a565f,26b23233-77bd-4cc2-8977-f312abd57327
5,Google C++ Testing Framework,1.11.0,Exact,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ac3331eb-2aa8-4867-ab91-8226042a13e4,b504fb09-eeb5-4f11-a10e-5da6f9793f35,3d238144-44e6-450e-b523-3defbdaed9dc
6,HdrHistogram_c,0.9.13,Exact,"(BSD 3-clause ""New"" or ""Revised"" License AND Public Domain)",PERMISSIVE,NOT_REVIEWED,43a908e1-df66-4cd1-b18f-63c94e41965e,ea26ec59-4803-41e9-a125-51068f6e2eaa,"3d238144-44e6-450e-b523-3defbdaed9dc,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4"
7,JSON for Modern C++,v3.9.1,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,7355d1e8-3e81-447c-a726-fa23a3541ac2,1a6f1b14-2bd2-472f-8a55-d9b5461617c2,ad705c59-6893-4980-bdbf-0837f1823cc4
8,asio,1.21.0,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,3739d5e9-9ad8-4845-8077-1770167a69c2,1ca67528-c98f-41e3-b48f-494e40431297,26b23233-77bd-4cc2-8977-f312abd57327
9,benchmark,1.4.1,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c570289f-07e9-45f6-94f6-44bd43d80530,3d9531e6-d6ba-4bee-b068-fda4e1d0cdd6,7cae335f-1193-421e-92f1-8802b4243e93
10,benchmark,1.5.1,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c570289f-07e9-45f6-94f6-44bd43d80530,1e91044f-3434-4d59-89ae-d1eed8a3f0f9,7cae335f-1193-421e-92f1-8802b4243e93
11,benchmark,v1.5.0,"Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c570289f-07e9-45f6-94f6-44bd43d80530,e76d1012-dca8-4cb2-acd5-e8607b61d389,7cae335f-1193-421e-92f1-8802b4243e93
12,couchbase-cxx-client,1.0.0-beta.3,"Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,20ed6861-2897-4b26-a828-a29370517282,af373bed-bd4c-4087-a40c-d872c01230b9,7cae335f-1193-421e-92f1-8802b4243e93
13,couchbase-python-client,4.0.5,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,ca46fc3f-e952-4947-8c3f-160d3b1d866e,7cae335f-1193-421e-92f1-8802b4243e93
14,couchbase-python-client,4.0.5rc1,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,25f7fc69-47cb-4e42-be24-6bae337c808e,7cae335f-1193-421e-92f1-8802b4243e93
15,fmtlib/fmt,8.0.1,"Exact,Files Modified",MIT License,PERMISSIVE,NOT_REVIEWED,eae20828-18b8-478f-83b3-4a058748a28b,9cef5178-059d-42c1-92c6-055674f0f53c,ad705c59-6893-4980-bdbf-0837f1823cc4
16,google-snappy,1.1.8,Exact,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,fd5e5c60-2c67-4d20-8be9-b7648156cef3,6b89a02e-7147-49f1-95bd-5f3b281d0d02,3d238144-44e6-450e-b523-3defbdaed9dc
17,libasio-doc,1.18.1,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,de0a2a70-1c17-4a84-8079-6a9a487f3b22,cc82cde2-6305-4e20-9f79-5224bb696313,26b23233-77bd-4cc2-8977-f312abd57327
18,restinio,0.6.16,Exact,Unknown License,UNKNOWN,NOT_REVIEWED,95cdb848-c689-434c-b76e-3f537c3e559d,90350ff6-0372-4018-8bc8-4d58ad1009f2,00000000-0010-0000-0000-000000000000
19,spdlog,1.9.2,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,7785114c-5b78-4aad-8771-72a739a1f06e,8a885fcc-9cf5-4396-9664-dc515d5cbca7,ad705c59-6893-4980-bdbf-0837f1823cc4
20,tao-pegtl,3.2.2,Files Modified,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,5e66fc80-22cf-409f-b1e3-8b8dc9c07ef5,26b23233-77bd-4cc2-8977-f312abd57327
21,tao-pegtl,3.2.6,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,79a97d54-c6c8-4121-b10c-dfc9602d901e,ad705c59-6893-4980-bdbf-0837f1823cc4
22,taocpp/json,0.0+git20200604.f357d72,"Exact,Files Modified",Expat License,PERMISSIVE,NOT_REVIEWED,cae0f7d2-4279-473a-9f71-eabdd121d2e3,369943c1-420a-44d6-9dce-dfc4e4c027c7,19bd4215-a4d4-4ffe-8e54-fcd9558d4e96
23,taocpp/json,1.0.0-beta.13,"Exact,Files Modified",MIT License,PERMISSIVE,NOT_REVIEWED,cae0f7d2-4279-473a-9f71-eabdd121d2e3,6fe21e8f-b618-4332-a9e4-3dd1d0b74691,ad705c59-6893-4980-bdbf-0837f1823cc4
